Group 0,Results,,Group 1,Results,,Group 2,Results,,Group 3,Results,,
Autobots vs Jooster Buice,,,BBB (big baller bots) vs Lizarduinos,,,Dirt Sharks vs Gundam fanclub,,,E = Mc^Bot vs H I R O,,,
Autobots vs Robonauts,,,BBB (big baller bots) vs Sum_bots,,,Dirt Sharks vs My name JYAF,,,E = Mc^Bot vs Resume Builder Bot,,,
Autobots vs The Rams,,,BBB (big baller bots) vs TSC,,,Dirt Sharks vs SumoX,,,E = Mc^Bot vs Team Potato,,,
ECEZ vs Jooster Buice,,,Flip-Flop  vs Lizarduinos,,,Gundam fanclub vs My name JYAF,,,H I R O vs Resume Builder Bot,,,
ECEZ vs Robonauts,,,Flip-Flop  vs Sum_bots,,,Gundam fanclub vs SumoX,,,H I R O vs Team Potato,,,
ECEZ vs The Rams,,,Flip-Flop  vs TSC,,,My name JYAF vs SumoX,,,Resume Builder Bot vs Team Potato,,,
Jooster Buice vs The Rams,,,Lizarduinos vs TSC,,,,,,,
Robonauts vs The Rams,,,Sum_bots vs TSC,,,,,,,
,,,,,,,,


Group 0 Teams,Matches Played,,Group 1 Teams,Matches Played,,Group 2 Teams,Matches Played,,Group 3 Teams,Matches Played,,
Autobots,3,,BBB (big baller bots),3,,Dirt Sharks,3,,E = Mc^Bot,3,,
ECEZ,3,,Flip-Flop ,3,,Gundam fanclub,3,,H I R O,3,,
Jooster Buice,3,,Lizarduinos,3,,My name JYAF,3,,Resume Builder Bot,3,,
Robonauts,3,,Sum_bots,3,,SumoX,3,,Team Potato,3,,
The Rams,4,,TSC,4,,,,,,,,
,,,,,,,,,,,,
